"","DOIs","publication_year","resource_type"
"1","10.21203/rs.3.rs-38496/v1",2020,"posted-content"
"2","10.3892/or.2019.7247",2019,"journal-article"
"3","10.1145/2983323.2983807",2016,"proceedings-article"
"4","10.21203/rs.3.rs-128597/v1",2020,"posted-content"
"5","10.21203/rs.3.rs-716282/v1",2021,"posted-content"
"6","10.21203/rs.3.rs-366917/v1",2021,"posted-content"
"7","10.1145/2882903.2903736",2016,"proceedings-article"
"8","10.1145/3364452.33644558",2019,"journal-article"
"9","10.7238/a.v0i22.3214",2018,"journal-article"
"10","10.1111/sms.13979",2021,"journal-article"
"11","10.1080/03075079.2020.1739014",2020,"journal-article"
"12","10.1080/13504851.2019.1610703",2019,"journal-article"
"13","10.1145/3149485.3149492",2018,"journal-article"
"14","10.1080/17565529.2019.1596063",2019,"journal-article"
"15","10.2109/jcersj2.16126",2016,"journal-article"
"16","10.2200/s01041ed1v01y202008mop005",2021,"journal-article"
"17","10.1093/nar/gky710",2018,"journal-article"
"18","10.1075/ijlcr.3.2.02bel",2017,"journal-article"
"19","10.1002/cctc.202100856",2021,"journal-article"
"20","10.1002/cne.25073",2020,"journal-article"
"21","10.1039/c6ra10501g",2016,"journal-article"
"22","10.1145/3034786.3034789",2017,"proceedings-article"
"23","10.1098/rspb.2019.2560",2019,"journal-article"
"24","10.1111/pce.13448",2018,"journal-article"
"25","10.1177/0013916514568556",2015,"journal-article"
"26","10.1039/c4pp00361f",2015,"journal-article"
"27","10.1002/9783527808465.emc2016.6713",2016,"reference-entry"
"28","10.15252/embj.201797825",2018,"journal-article"
"29","10.1145/3232056",2018,"journal-article"
"30","10.1145/3221269.3223031",2018,"proceedings-article"
"31","10.1142/9789811235740_0019",2021,"book-chapter"
"32","10.1117/1.oe.57.1.011015",2017,"journal-article"
"33","10.1039/c5dt00819k",2015,"journal-article"
"34","10.1055/s-0039-1688320",2019,"proceedings-article"
"35","10.1002/biot.201500344",2016,"journal-article"
"36","10.1242/jeb.176719",2018,"journal-article"
"37","10.1080/23273798.2021.1900580",2021,"journal-article"
"38","10.1515/icom-2016-0004",2016,"journal-article"
"39","10.21203/rs.3.rs-124075/v1",2020,"posted-content"
"40","10.1111/psyp.12729",2016,"journal-article"
"41","10.1002/9783527808465.emc2016.6670",2016,"reference-entry"
"42","10.1128/jvi.00184-20",2020,"journal-article"
"43","10.1039/c6cp01405d",2016,"journal-article"
"44","10.1152/jn.00088.2016",2016,"journal-article"
"45","10.14778/3015270.3015273",2016,"journal-article"
"46","10.1055/s-0042-109261",2016,"journal-article"
"47","10.1098/rspb.2020.2784",2021,"journal-article"
"48","10.1002/zaac.202000437",2021,"journal-article"
"49","10.1039/c5cc05606c",2015,"journal-article"
"50","10.1515/icom-2016-0043",2017,"journal-article"
"51","10.1039/c7dt04056c",2017,"journal-article"
"52","10.1177/0146621616676791",2016,"journal-article"
"53","10.1080/02635143.2019.1600490",2019,"journal-article"
"54","10.1111/lang.12231",2017,"journal-article"
"55","10.1026/1616-3443/a000492",2018,"journal-article"
"56","10.1002/piuz.201970306",2019,"journal-article"
"57","10.5465/ambpp.2020.104",2020,"journal-article"
"58","10.1145/3385634.3385636",2020,"journal-article"
"59","10.1039/c7tc04412g",2018,"journal-article"
"60","10.1002/psc.3136",2018,"journal-article"
"61","10.1039/c6cc10182h",2017,"journal-article"
"62","10.1128/mbio.01639-17",2017,"journal-article"
"63","10.1145/2881025.2889485",2016,"proceedings-article"
"64","10.1039/c5dt04923g",2016,"journal-article"
"65","10.1111/psyp.13086",2018,"journal-article"
"66","10.1177/0013164415573311",2015,"journal-article"
"67","10.1002/psc.3006",2017,"journal-article"
"68","10.1111/psyp.13380",2019,"journal-article"
"69","10.1111/ejn.14908",2020,"journal-article"
"70","10.1039/c9dt00780f",2019,"journal-article"
"71","10.1039/c6sc01883a",2016,"journal-article"
"72","10.1039/d0cc01420f",2020,"journal-article"
"73","10.1055/s-0041-1727377",2021,"proceedings-article"
"74","10.1200/po.18.00371",2019,"journal-article"
"75","10.1177/0146167216651851",2016,"journal-article"
"76","10.1177/1747021818806491",2018,"journal-article"
"77","10.1117/12.2241431",2016,"proceedings-article"
"78","10.1145/3444847",2021,"journal-article"
"79","10.1002/jclp.22225",2015,"journal-article"
"80","10.1024/1010-0652/a000142",2015,"journal-article"
"81","10.1039/c6dt03027k",2016,"journal-article"
"82","10.1039/c5cc00901d",2015,"journal-article"
"83","10.1002/job.2151",2016,"journal-article"
"84","10.1039/c5dt04845a",2016,"journal-article"
"85","10.1055/s-0041-1727384",2021,"proceedings-article"
"86","10.1117/1.oe.59.8.086101",2020,"journal-article"
"87","10.1002/zaac.202100059",2021,"journal-article"
"88","10.1039/c4ce01025f",2015,"journal-article"
"89","10.1039/c5cp02219c",2015,"journal-article"
"90","10.1039/c5dt02828k",2015,"journal-article"
"91","10.1039/c7cy02257c",2018,"journal-article"
"92","10.1152/jn.00138.2020",2020,"journal-article"
"93","10.1039/c7dt03752j",2018,"journal-article"
"94","10.1039/d0cp00394h",2020,"journal-article"
"95","10.1039/c9dt03371h",2019,"journal-article"
"96","10.1109/icip.2016.7532378",2016,"proceedings-article"
"97","10.1111/cogs.12272",2015,"journal-article"
"98","10.1002/cne.24892",2020,"journal-article"
"99","10.1177/0891241620968271",2020,"journal-article"
"100","10.1039/c7tc01599b",2017,"journal-article"
