"","x"
"1","10.3139/104.111575"
"2","10.3139/104.111560"
"3","10.3139/104.111574"
"4","10.3852/15-254"
"5","10.1130/ges02032.1"
"6","10.1055/s-0037-1598699"
"7","10.1055/s-0036-1594189"
"8","10.1515/cdbme-2017-0005"
"9","10.1515/zwf-2021-0045"
"10","10.1177/0269881115609072"
"11","10.1002/chem.201603098"
"12","10.1002/ange.201803136"
"13","10.1055/s-0038-1668731"
"14","10.1093/eurheartj/ehz540"
"15","10.1093/eurheartj/ehz748.0501"
"16","10.1002/pip.2725"
"17","10.22331/q-2021-03-23-417"
"18","10.1200/jco.2016.34.15_suppl.5005"
"19","10.3139/104.111561"
"20","10.3139/104.112098"
"21","10.3139/104.111918"
"22","10.1111/apha.13701"
"23","10.1055/s-0038-1671328"
"24","10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a5255"
"25","10.1563/aaid-joi-d-16-00065"
"26","10.1055/s-0039-1693665"
"27","10.1021/acsomega.9b04371"
"28","10.1055/a-0829-6580"
"29","10.1109/eptc.2017.8277550"
"30","10.1182/blood-2018-99-116652"
"31","10.1145/3341105.3373909"
"32","10.1111/head.13278"
"33","10.25039/x44.2017.op39"
"34","10.1200/jco.2017.35.7_suppl.134"
"35","10.1515/bejeap-2020-0084"
"36","10.1055/a-1301-8852"
"37","10.1109/icassp40776.2020.9054411"
"38","10.1145/3434770.3459736"
"39","10.1093/ndt/gfab128.003"
"40","10.1128/jvi.00351-16"
"41","10.1302/0301-620x.98b1.36347"
"42","10.1093/icvts/ivaa235"
"43","10.1177/1747021818769259"
"44","10.21203/rs.3.rs-122548/v1"
"45","10.1039/c5cc01488c"
"46","10.1002/pssa.201532819"
"47","10.1093/cvr/cvy060.413"
"48","10.1116/1.4965883"
"49","10.1111/aor.12725"
"50","10.1002/cpcy.20"
