"","DOIs","is_oa","oa_status"
"1","10.21203/rs.3.rs-38496/v1",TRUE,"green"
"2","10.3892/or.2019.7247",TRUE,"bronze"
"3","10.1145/2983323.2983807",FALSE,"closed"
"4","10.21203/rs.3.rs-128597/v1",TRUE,"green"
"5","10.21203/rs.3.rs-716282/v1",TRUE,"green"
"6","10.21203/rs.3.rs-366917/v1",TRUE,"green"
"7","10.1145/2882903.2903736",FALSE,"closed"
"8","10.1145/3364452.33644558",FALSE,"closed"
"9","10.7238/a.v0i22.3214",TRUE,"gold"
"10","10.1111/sms.13979",TRUE,"hybrid"
"11","10.1080/03075079.2020.1739014",TRUE,"hybrid"
"12","10.1080/13504851.2019.1610703",FALSE,"closed"
"13","10.1145/3149485.3149492",TRUE,"green"
"14","10.1080/17565529.2019.1596063",FALSE,"closed"
"15","10.2109/jcersj2.16126",TRUE,"gold"
"16","10.2200/s01041ed1v01y202008mop005",FALSE,"closed"
"17","10.1093/nar/gky710",TRUE,"gold"
"18","10.1075/ijlcr.3.2.02bel",FALSE,"closed"
"19","10.1002/cctc.202100856",TRUE,"hybrid"
"20","10.1002/cne.25073",TRUE,"hybrid"
"21","10.1039/c6ra10501g",TRUE,"hybrid"
"22","10.1145/3034786.3034789",TRUE,"green"
"23","10.1098/rspb.2019.2560",TRUE,"hybrid"
"24","10.1111/pce.13448",FALSE,"closed"
"25","10.1177/0013916514568556",FALSE,"closed"
"26","10.1039/c4pp00361f",TRUE,"hybrid"
"27","10.1002/9783527808465.emc2016.6713",TRUE,"bronze"
"28","10.15252/embj.201797825",TRUE,"hybrid"
"29","10.1145/3232056",TRUE,"green"
"30","10.1145/3221269.3223031",TRUE,"green"
"31","10.1142/9789811235740_0019",FALSE,"closed"
"32","10.1117/1.oe.57.1.011015",FALSE,"closed"
"33","10.1039/c5dt00819k",FALSE,"closed"
"34","10.1055/s-0039-1688320",FALSE,"closed"
"35","10.1002/biot.201500344",FALSE,"closed"
"36","10.1242/jeb.176719",TRUE,"hybrid"
"37","10.1080/23273798.2021.1900580",FALSE,"closed"
"38","10.1515/icom-2016-0004",FALSE,"closed"
"39","10.21203/rs.3.rs-124075/v1",TRUE,"green"
"40","10.1111/psyp.12729",FALSE,"closed"
"41","10.1002/9783527808465.emc2016.6670",TRUE,"bronze"
"42","10.1128/jvi.00184-20",TRUE,"bronze"
"43","10.1039/c6cp01405d",TRUE,"green"
"44","10.1152/jn.00088.2016",TRUE,"bronze"
"45","10.14778/3015270.3015273",FALSE,"closed"
"46","10.1055/s-0042-109261",FALSE,"closed"
"47","10.1098/rspb.2020.2784",TRUE,"hybrid"
"48","10.1002/zaac.202000437",TRUE,"hybrid"
"49","10.1039/c5cc05606c",FALSE,"closed"
"50","10.1515/icom-2016-0043",FALSE,"closed"
"51","10.1039/c7dt04056c",FALSE,"closed"
"52","10.1177/0146621616676791",TRUE,"green"
"53","10.1080/02635143.2019.1600490",TRUE,"hybrid"
"54","10.1111/lang.12231",FALSE,"closed"
"55","10.1026/1616-3443/a000492",FALSE,"closed"
"56","10.1002/piuz.201970306",FALSE,"closed"
"57","10.5465/ambpp.2020.104",FALSE,"closed"
"58","10.1145/3385634.3385636",FALSE,"closed"
"59","10.1039/c7tc04412g",FALSE,"closed"
"60","10.1002/psc.3136",TRUE,"bronze"
"61","10.1039/c6cc10182h",FALSE,"closed"
"62","10.1128/mbio.01639-17",TRUE,"gold"
"63","10.1145/2881025.2889485",FALSE,"closed"
"64","10.1039/c5dt04923g",FALSE,"closed"
"65","10.1111/psyp.13086",TRUE,"green"
"66","10.1177/0013164415573311",TRUE,"green"
