"","X","DOIs","publication_year","resource_type"
"1",1,"10.21203/rs.3.rs-38496/v1",2020,"posted-content"
"2",2,"10.3892/or.2019.7247",2019,"journal-article"
"3",3,"10.1145/2983323.2983807",2016,"proceedings-article"
"4",4,"10.21203/rs.3.rs-128597/v1",2020,"posted-content"
"5",5,"10.21203/rs.3.rs-716282/v1",2021,"posted-content"
"6",6,"10.21203/rs.3.rs-366917/v1",2021,"posted-content"
"7",7,"10.1145/2882903.2903736",2016,"proceedings-article"
"8",8,"10.1145/3364452.33644558",2019,"journal-article"
"9",9,"10.7238/a.v0i22.3214",2018,"journal-article"
"10",10,"10.1111/sms.13979",2021,"journal-article"
"11",11,"10.1080/03075079.2020.1739014",2020,"journal-article"
"12",12,"10.1080/13504851.2019.1610703",2019,"journal-article"
"13",13,"10.1145/3149485.3149492",2018,"journal-article"
"14",14,"10.1080/17565529.2019.1596063",2019,"journal-article"
"15",15,"10.2109/jcersj2.16126",2016,"journal-article"
"16",16,"10.2200/s01041ed1v01y202008mop005",2021,"journal-article"
"17",17,"10.1093/nar/gky710",2018,"journal-article"
"18",18,"10.1075/ijlcr.3.2.02bel",2017,"journal-article"
"19",19,"10.1002/cctc.202100856",2021,"journal-article"
"20",20,"10.1002/cne.25073",2020,"journal-article"
"21",21,"10.1039/c6ra10501g",2016,"journal-article"
"22",22,"10.1145/3034786.3034789",2017,"proceedings-article"
"23",23,"10.1098/rspb.2019.2560",2019,"journal-article"
"24",24,"10.1111/pce.13448",2018,"journal-article"
"25",25,"10.1177/0013916514568556",2015,"journal-article"
"26",26,"10.1039/c4pp00361f",2015,"journal-article"
"27",27,"10.1002/9783527808465.emc2016.6713",2016,"reference-entry"
"28",28,"10.15252/embj.201797825",2018,"journal-article"
"29",29,"10.1145/3232056",2018,"journal-article"
"30",30,"10.1145/3221269.3223031",2018,"proceedings-article"
"31",31,"10.1142/9789811235740_0019",2021,"book-chapter"
"32",32,"10.1117/1.oe.57.1.011015",2017,"journal-article"
"33",33,"10.1039/c5dt00819k",2015,"journal-article"
"34",34,"10.1055/s-0039-1688320",2019,"proceedings-article"
"35",35,"10.1002/biot.201500344",2016,"journal-article"
"36",36,"10.1242/jeb.176719",2018,"journal-article"
"37",37,"10.1080/23273798.2021.1900580",2021,"journal-article"
"38",38,"10.1515/icom-2016-0004",2016,"journal-article"
"39",39,"10.21203/rs.3.rs-124075/v1",2020,"posted-content"
"40",40,"10.1111/psyp.12729",2016,"journal-article"
"41",41,"10.1002/9783527808465.emc2016.6670",2016,"reference-entry"
"42",42,"10.1128/jvi.00184-20",2020,"journal-article"
"43",43,"10.1039/c6cp01405d",2016,"journal-article"
"44",44,"10.1152/jn.00088.2016",2016,"journal-article"
"45",45,"10.14778/3015270.3015273",2016,"journal-article"
"46",46,"10.1055/s-0042-109261",2016,"journal-article"
"47",47,"10.1098/rspb.2020.2784",2021,"journal-article"
"48",48,"10.1002/zaac.202000437",2021,"journal-article"
"49",49,"10.1039/c5cc05606c",2015,"journal-article"
"50",50,"10.1515/icom-2016-0043",2017,"journal-article"
"51",51,"10.1039/c7dt04056c",2017,"journal-article"
"52",52,"10.1177/0146621616676791",2016,"journal-article"
"53",53,"10.1080/02635143.2019.1600490",2019,"journal-article"
