Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Berlin,Freie Universität Berlin,Freie Universität Berlin,Freie Universität Berlin,Freie Universität Berlin,https://ror.org/046ak2485,grid.14095.39,grid.14095.39,NA,10165,Kaiserswerther Straße,16-18,NA,14195,Berlin,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100001644,NA,http://www.gerit.org/de/institutiondetail/10165,,www.fu-berlin.de,Universität,Universität,university,www.fu-berlin.de/sites/open_access/index.html,23.11.2020,,www.fu-berlin.de/sites/open_access/akteure/index.html,23.11.2020,nicht besetzt,Open-Access-Team,www.fu-berlin.de/sites/open_access/akteure/index.html,23.11.2020,open-access@fu-berlin.de,ja,23.07.2008,www.fu-berlin.de/sites/open_access/akteure/oa-policy/index.html,,,,ja,DFG-Kofinanziert,ja,www.fu-berlin.de/sites/open_access/finanzierung/index.html,ja,www.fu-berlin.de/sites/open_access/finanzierung/index.html,23.11.2020,,refubium.fu-berlin.de/,,ja,17.01.2006,ja,14.11.2019,nein,"Klement Tockner, Dirk Ostwald, Lisa Matthias, Hans-Joachim Pflueger, Tommaso Benacchio, Han Cheng Lie, 
 Miranda Alice Schreurs",nein,23.11.2020
Hessen,Technische Universität Darmstadt,Technische Universität Darmstadt,Technische Universität Darmstadt,TU Darmstadt,https://ror.org/05n911h24,grid.6546.1,grid.6546.1,NA,10210,Karolinenplatz,5,NA,64289,Darmstadt,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100003072,NA,http://www.gerit.org/de/institutiondetail/10210,,www.tu-darmstadt.de/,Universität,Universität,university,www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp,23.11.2020,Prof. Dr. Andrea Rapp,www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp,23.11.2020,,Team Digitales Publizieren,www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/open_access_an_der_tu/index.de.jsp,23.11.2020,openaccess@ulb.tu-darmstadt.de,ja,29.08.2019,www.ulb.tu-darmstadt.de/media/ulb/pflicht_epublishing/pdf_11/OA-Policy_TUDarmstadt.pdf,,,,ja,DFG-Kofinanziert,ja,www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/oa_publikationsfond/index.de.jsp,ja,www.ulb.tu-darmstadt.de/service/elektronisches_publizieren/oa_publikationsfond/index.de.jsp,23.11.2020,,tuprints.ulb.tu-darmstadt.de/,,ja,07.12.2015,nein,,nein,"Viktor Stein, 
 Jens Hornung",nein,23.11.2020
Rheinland-Pfalz,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg University Mainz,Johannes Gutenberg University of Mainz,https://ror.org/023b0x485,grid.5802.f,grid.5802.f,NA,10323,Saarstraße,21,NA,55122,Mainz,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100004812,501100003783,,,www.uni-mainz.de,Universität,Universität,university,www.ub.uni-mainz.de/de/open-access,01.12.2020,,,01.12.2020,keine Hinweise,Karin Eckert,www.ub.uni-mainz.de/de/open-access,01.12.2020,publikationssysteme@ub.uni-mainz.de,ja,01.2012,www.ub.uni-mainz.de/de/open-access/open-access-policy-jgu,,,,ja,Eigenmittel,ja,www.ub.uni-mainz.de/de/open-access/foerderkriterien-open-access,ja,www.ub.uni-mainz.de/de/open-access/foerderkriterien-open-access,01.12.2020,,openscience.ub.uni-mainz.de/,,ja,25.01.2013,nein,,nein,"Julian Loeffel, Wolfgang Hennig, Jacqueline Trotter
 Gerhard Martin Technau, 
 Ana Rogulja-Ortmann, Guillaume Richard, 
 Wolfgang Mueller-Klieser, 
 Michael David Pirie, Carsten Duch, 
 Christoph Grüter, Benjamin Altenhein, 
 Miguel Anade",nein,01.12.2020
Nordrhein-Westfalen,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,University of Münster,University of Münster,https://ror.org/00pd74e08,grid.5949.1,grid.5949.1,NA,10272,Schlossplatz,2,NA,48149,Münster,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100004870,NA,http://www.gerit.org/de/institutiondetail/10272,,www.uni-muenster.de/de/,Universität,Universität,university,www.uni-muenster.de/Publizieren/open-access/,01.12.2020,,,01.12.2020,keine Hinweise,"Dr. Viola Voß, Jessica Thomas",www.uni-muenster.de/Publizieren/open-access/,01.12.2020,openaccess@uni-muenster.de,ja,09.02.2012,www.uni-muenster.de/Publizieren/open-access/policy/,,,,ja,Eigenmittel,ja,www.uni-muenster.de/Publizieren/service/publikationsfonds/,ja,www.uni-muenster.de/Publizieren/service/publikationsfonds/,01.12.2020,,miami.uni-muenster.de/,,ja,30.03.2012,ja,11.12.2017,nein,Hellmut Eckert,nein,01.12.2020
Niedersachsen,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,University of Göttingen,University of Göttingen,https://ror.org/01y9bpm73,grid.7450.6,grid.7450.6,NA,10236,Wilhelmsplatz,1,NA,37073,Göttingen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100004939,501100003383,,,www.uni-goettingen.de,Universität,Universität,university,www.uni-goettingen.de/de/63123.html,23.11.2020,,,23.11.2020,keine Hinweise,"Margo Bargheer, Sabine Witt",www.sub.uni-goettingen.de/publizieren-und-open-access/open-access/,23.11.2020,bargheer@sub.uni-goettingen.de,ja,06.12.2016,www.uni-goettingen.de/%7B$lang%7D/622261.html,,,,ja,Eigenmittel?,ja,www.sub.uni-goettingen.de/publizieren-open-access/open-access/open-access-publikationsfonds/,nein,,23.11.2020,,opac.sub.uni-goettingen.de/DB=1.67/LNG=DU/,,nein,,nein,,nein,Margo Bargheer,nein,23.11.2020
Nordrhein-Westfalen,Ruhr-Universität Bochum,Ruhr-Universität Bochum,Ruhr-Universität Bochum,Ruhr University Bochum,https://ror.org/04tsk2644,grid.5570.7,grid.5570.7,NA,10276,Universitätsstraße,150,NA,44801,Bochum,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100007200,501100006551,,,www.ruhr-uni-bochum.de/de,Universität,Universität,university,www.ruhr-uni-bochum.de/oa/,24.11.2020,Kathrin Lucht-Roussel,forschung.ruhr-uni-bochum.de/de/publizieren,24.11.2020,,Kathrin Lucht-Roussel,forschung.ruhr-uni-bochum.de/de/publizieren,24.11.2020,oa@rub.de,ja,06.03.2013,www.ruhr-uni-bochum.de/oa/mam/content/rub_ub_openaccess-resolution.pdf,,,,ja,DFG-Kofinanziert,ja,www.ruhr-uni-bochum.de/oa/apply/index.html.de,nein,,24.11.2020,keine Angabe zu Monografien/Sammelwerke,hss-opus.ub.ruhr-uni-bochum.de/opus4/home,,ja,06.03.2013,nein,,nein,",Alexander Hartmaier, 
 Christian Gudehus",nein,24.11.2020
Freistaat Bayern,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,University of Erlangen-Nuremberg,https://ror.org/00f7hpc57,grid.5330.5,grid.5330.5,NA,10115,Schlossplatz,4,NA,91054,Erlangen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100007216,NA,http://www.gerit.org/de/institutiondetail/10115,,www.fau.de/,Universität,Universität,university,ub.fau.de/haeufig-gestellte-fragen-faq/open-access/,20.11.2020,,,20.11.2020,keine Hinweise,"Markus Putnings, Dr. Katrin Seyler, Dr. Rainer Plappert",ub.fau.de/person/referat-open-access/,20.11.2020,ub-open-access@fau.de,ja,22.03.2011,opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/6865,,,,ja,DFG-Kofinanziert,ja,ub.fau.de/forschen/open-access/open-access-publikationsfonds/,nein,,20.11.2020,25% AutorInnenbeteiligung: keine Angabe zu Monographien und Sammelwerken,ub.fau.de/en/research/opus-fau/,,ja,27.06.2013,nen,,nein,"Christina Schüttler, 
 Christian Niklas, Philipp Tripal, 
 Peo Miguel Reis",nein,20.11.2020
Freistaat Sachsen,Technische Universität Dresden,Technische Universität Dresden,Technische Universität Dresden,TU Dresden,https://ror.org/042aqky30,grid.4488.0,grid.4488.0,NA,10353,Mommsenstraße,11,NA,1069,Dresden,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,501100007491,NA,http://www.gerit.org/de/institutiondetail/10353,,www.tu-dresden.de/,Universität,Universität,university,tu-dresden.de/forschung-transfer/forschungsinformationen/open-access,20.11.2020,Prof. Dr. Angela Rösen-Wolff,tu-dresden.de/forschung-transfer/forschungsinformationen/open-access,20.11.2020,,"Michael Wohlgemuth, Eloísa Deola Schennerlein",www.slub-dresden.de/service/slub-open-science-lab/open-access/,20.11.2020,openaccess@​slub-dresden.de,ja,14.03.2012,tu-dresden.de/forschung-transfer/forschungsinformationen/open-access/open-access-resolution,,,,ja,DFG-Kofinanziert,ja,www.slub-dresden.de/service/open-science-service/open-access/publikationsfonds/,ja,www.slub-dresden.de/service/slub-open-science-lab/open-access/publikationsfonds/,20.11.2020,Monographien auf Anfrage,www.qucosa.de/startseite/,,ja,24.08.2012,nein,,nein,"Robert Kirchner, 
 Jana Krautz,",nein,20.11.2020
Baden-Württemberg,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg,University of Freiburg,University of Freiburg,https://ror.org/0245cg223,grid.5963.9,grid.5963.9,NA,10055,NA,NA,NA,79085,Freiburg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10055,,www.uni-freiburg.de/,Universität,Universität,university,www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/,21.11.2020,Nadine Keßler,www.ub.uni-freiburg.de/kontakt/fachreferate/nadine-kessler/,21.11.2020,,Nadine Keßler,www.ub.uni-freiburg.de/kontakt/ansprechpersonen/,21.11.2020,nadine.kessler@ub.uni-freiburg.de,ja,31.3.2010,www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/open-access-resolution-der-universitaet/,,,,ja,"Eigenmittel; medizinische Falkultät, MWK des Landes Baden-Wüttemberg",ja,www.ub.uni-freiburg.de/unterstuetzung/elektronisch-publizieren/open-access/publikationsfonds/,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,freidok.uni-freiburg.de/,,nen,,nein,,nein,"Peter Fritz Müller, Peter Fritz Müller, 
 Nicolas Schoof, Lars Pastewka,
 Carsten Mehring, Hartmut Hengel
 Sven P. Heinrich, Max Kroeschel
 Aneas Seifert, Aneas Vogt
 Albert Ludwigs, Natalia Unruh
 Michael Bach, Jochen Maurer
 Philipp Gassner, Jürgen Beck
 Michael Kottgen, E. Wolfgang Kuehn
 Magdeldin Elgizouli, Stephan Seiler",nein,21.11.2020
Baden-Württemberg,Deutsches Krebsforschungszentrum (DKFZ),Deutsches Krebsforschungszentrum (DKFZ),German Cancer Research Center (DKFZ),German Cancer Research Center,https://ror.org/04cdgtt98,grid.7497.d,grid.7497.d,Q449325,10097,Im Neuenheimer Feld,280,NA,69120,Heidelberg,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Klinische Krebsforschung und molekulare Tumorforschung,100008658,NA,NA,http://www.gerit.org/de/institutiondetail/10097,www.dkfz.de,www.dkfz.de,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,www.dkfz.de/de/zbib/info/o-a.html,04.01.2021,Dagmar Sitek,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,d.sitek[at]dkfz-heidelberg.de,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,04.01.2021,,nur intern ( www.dkfz.de/de/zbib/general/pubdb.html ),,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,04.01.2021
